id,latitude,longitude,name,type,pm25,color,url,label
82,25.036,121.443,世杰,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED065E,&starf;&starf;&starf;&starf;&starf;
83,24.133,120.684,臺中市東區臺中家商,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED064E,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
84,25.034,121.541,師大附中,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED05BC,&starf;&starf;&starf;&starf;&starf;
85,25.044,121.515,台大醫院秘4,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED051E,&starf;&starf;&starf;&starf;&starf;
86,25.06,121.53,台大醫院秘3,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED051A,&starf;&starf;&starf;&starf;&star;
87,25.059,121.461,林均泓,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED04EA,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
88,25.003,121.5,cb00165,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED0458,&starf;&starf;&starf;&starf;&starf;
89,24.435,118.314,金門高中教務處,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED0424,&starf;&starf;&starf;&starf;&starf;
90,24.895,120.998,東陽魚池,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF964,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
91,24.048,120.436,街尾青雲,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF95C,&starf;&starf;&starf;&starf;&starf;
92,22.611,120.323,Sam house,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38EBF938,&star;&star;&star;&star;&star;
